# staged exhibit — APSB25-94 public advisory reconstruction — NOT customer data
# Apache combined log format. Represents ~45m of traffic on a compromised
# Magento 2.4.x store captured during IR. Three distinct attacker arcs:
#   198.51.100.23  — pre-compromise recon (404s on common exploit probes)
#   198.51.100.77  — APSB25-94 exploitation vector (REST guest-carts, SOAP, auth bypass)
#   203.0.113.42   — post-compromise webshell operation at the .cache/a.php path,
#                    URL-evasion double-extension (.jpg/.png/.gif) GETs + command POSTs
# Legitimate user IPs draw from 192.0.2.0/24 (RFC 5737 TEST-NET-1). Attacker IPs
# use 198.51.100.0/24 and 203.0.113.0/24 (RFC 5737 TEST-NET-2/3). No real ranges.
192.0.2.13 - - [22/Mar/2026:14:00:27 +0000] "GET /pub/static/frontend/Magento/luma/en_US/Magento_Catalog/js/price-utils.js HTTP/1.1" 200 4221 "https://magento.example.com/catalog/category/view/id/3/" "Mozilla/5.0 (X11; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0"
192.0.2.14 - - [22/Mar/2026:14:00:31 +0000] "GET /catalog/product/view/id/42/ HTTP/1.1" 200 23100 "https://magento.example.com/catalog/category/view/id/3/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.14 - - [22/Mar/2026:14:00:34 +0000] "GET /pub/media/catalog/product/cache/1/image/800x/productmain.jpg HTTP/1.1" 200 44120 "https://magento.example.com/catalog/product/view/id/42/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.15 - - [22/Mar/2026:14:00:41 +0000] "GET /pub/media/wysiwyg/home-banner.jpg HTTP/1.1" 200 44210 "https://magento.example.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Mobile/15E148 Safari/604.1"
192.0.2.15 - - [22/Mar/2026:14:00:44 +0000] "GET /catalogsearch/result/?q=shirt HTTP/1.1" 200 11223 "https://magento.example.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Mobile/15E148 Safari/604.1"
198.51.100.23 - - [22/Mar/2026:14:01:02 +0000] "GET /magento_version HTTP/1.1" 200 17 "-" "curl/7.88.1"
198.51.100.23 - - [22/Mar/2026:14:01:03 +0000] "GET /downloader/ HTTP/1.1" 404 512 "-" "curl/7.88.1"
198.51.100.23 - - [22/Mar/2026:14:01:03 +0000] "GET /app/etc/env.php HTTP/1.1" 404 512 "-" "curl/7.88.1"
198.51.100.23 - - [22/Mar/2026:14:01:04 +0000] "GET /phpinfo.php HTTP/1.1" 404 512 "-" "curl/7.88.1"
198.51.100.23 - - [22/Mar/2026:14:01:04 +0000] "GET /rest/V1/guest-carts/test HTTP/1.1" 400 128 "-" "curl/7.88.1"
198.51.100.23 - - [22/Mar/2026:14:01:05 +0000] "GET /index.php/rest/V1/guest-carts/test HTTP/1.1" 400 128 "-" "curl/7.88.1"
198.51.100.23 - - [22/Mar/2026:14:01:05 +0000] "GET /admin HTTP/1.1" 302 0 "-" "curl/7.88.1"
198.51.100.23 - - [22/Mar/2026:14:01:06 +0000] "GET /index.php/rest/V1/products HTTP/1.1" 401 87 "-" "curl/7.88.1"
192.0.2.16 - - [22/Mar/2026:14:01:18 +0000] "GET /checkout/cart/ HTTP/1.1" 200 4720 "https://magento.example.com/catalog/product/view/id/42/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.16 - - [22/Mar/2026:14:01:22 +0000] "POST /customer/section/load/ HTTP/1.1" 200 1204 "https://magento.example.com/checkout/cart/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.17 - - [22/Mar/2026:14:01:29 +0000] "GET /customer/account/create/ HTTP/1.1" 200 9211 "https://magento.example.com/" "Mozilla/5.0 (X11; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0"
192.0.2.18 - - [22/Mar/2026:14:01:44 +0000] "POST /checkout/onepage/saveBilling/ HTTP/1.1" 200 2100 "https://magento.example.com/checkout/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.19 - - [22/Mar/2026:14:02:01 +0000] "GET / HTTP/1.1" 200 14832 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.19 - - [22/Mar/2026:14:02:03 +0000] "GET /pub/static/frontend/Magento/luma/en_US/Magento_Checkout/js/view/progress-bar.js HTTP/1.1" 200 5412 "https://magento.example.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.20 - - [22/Mar/2026:14:02:12 +0000] "GET /catalog/category/view/id/3/ HTTP/1.1" 200 18441 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15"
198.51.100.77 - - [22/Mar/2026:14:02:33 +0000] "POST /index.php/rest/V1/guest-carts/ HTTP/1.1" 200 64 "-" "Go-http-client/1.1"
198.51.100.77 - - [22/Mar/2026:14:02:35 +0000] "POST /index.php/rest/V1/guest-carts/1/estimate-shipping-methods HTTP/1.1" 400 217 "-" "Go-http-client/1.1"
198.51.100.77 - - [22/Mar/2026:14:02:38 +0000] "POST /index.php/rest/V1/guest-carts/1/estimate-shipping-methods HTTP/1.1" 500 392 "-" "Go-http-client/1.1"
198.51.100.77 - - [22/Mar/2026:14:02:41 +0000] "POST /index.php/rest/V1/guest-carts/1/shipping-information HTTP/1.1" 500 392 "-" "Go-http-client/1.1"
198.51.100.77 - - [22/Mar/2026:14:02:44 +0000] "POST /soap/default?wsdl HTTP/1.1" 200 8421 "-" "Go-http-client/1.1"
198.51.100.77 - - [22/Mar/2026:14:02:47 +0000] "POST /index.php/rest/default/V1/products HTTP/1.1" 401 87 "-" "Go-http-client/1.1"
198.51.100.77 - - [22/Mar/2026:14:02:51 +0000] "POST /index.php/rest/V1/guest-carts/1/billing-address HTTP/1.1" 200 512 "-" "Go-http-client/1.1"
198.51.100.77 - - [22/Mar/2026:14:02:58 +0000] "POST /index.php/rest/V1/guest-carts/1/payment-information HTTP/1.1" 200 1024 "-" "Go-http-client/1.1"
192.0.2.21 - - [22/Mar/2026:14:03:11 +0000] "GET /pub/static/frontend/Magento/luma/en_US/Magento_Theme/js/view/loader.js HTTP/1.1" 200 8711 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0"
192.0.2.22 - - [22/Mar/2026:14:03:19 +0000] "POST /customer/section/load/ HTTP/1.1" 200 1204 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.23 - - [22/Mar/2026:14:03:27 +0000] "GET /catalog/product/view/id/99/ HTTP/1.1" 200 22100 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15"
203.0.113.42 - - [22/Mar/2026:14:03:41 +0000] "GET /pub/media/catalog/product/.cache/a.php/product-main.jpg HTTP/1.1" 200 512 "-" "python-requests/2.31"
192.0.2.24 - - [22/Mar/2026:14:03:49 +0000] "GET /pub/media/catalog/product/cache/1/image/800x/hero-4.jpg HTTP/1.1" 200 51002 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.25 - - [22/Mar/2026:14:03:55 +0000] "GET /pub/static/frontend/Magento/luma/en_US/images/logo.svg HTTP/1.1" 200 2340 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Mobile/15E148 Safari/604.1"
203.0.113.42 - - [22/Mar/2026:14:04:02 +0000] "POST /pub/media/catalog/product/.cache/a.php HTTP/1.1" 200 128 "-" "python-requests/2.31"
192.0.2.26 - - [22/Mar/2026:14:04:09 +0000] "GET /checkout/cart/ HTTP/1.1" 200 4720 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.27 - - [22/Mar/2026:14:04:19 +0000] "GET /customer/account/create/ HTTP/1.1" 200 9211 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0"
192.0.2.28 - - [22/Mar/2026:14:04:26 +0000] "GET /pub/media/wysiwyg/promo-banner.jpg HTTP/1.1" 200 38410 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
203.0.113.42 - - [22/Mar/2026:14:04:33 +0000] "GET /pub/media/catalog/product/.cache/a.php/banner.png HTTP/1.1" 200 512 "-" "python-requests/2.31"
192.0.2.29 - - [22/Mar/2026:14:04:44 +0000] "POST /checkout/onepage/saveBilling/ HTTP/1.1" 200 2100 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.30 - - [22/Mar/2026:14:04:57 +0000] "GET /pub/static/frontend/Magento/luma/en_US/Magento_Catalog/js/price-utils.js HTTP/1.1" 200 4221 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15"
192.0.2.31 - - [22/Mar/2026:14:05:03 +0000] "GET / HTTP/1.1" 200 14832 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.32 - - [22/Mar/2026:14:05:14 +0000] "GET /catalog/category/view/id/7/ HTTP/1.1" 200 17320 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
203.0.113.42 - - [22/Mar/2026:14:05:27 +0000] "GET /pub/media/catalog/product/.cache/a.php?a=list HTTP/1.1" 200 4096 "-" "python-requests/2.31"
192.0.2.33 - - [22/Mar/2026:14:05:41 +0000] "GET /pub/static/frontend/Magento/luma/en_US/Magento_Theme/js/view/loader.js HTTP/1.1" 200 8711 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0"
192.0.2.34 - - [22/Mar/2026:14:05:55 +0000] "POST /customer/section/load/ HTTP/1.1" 200 1204 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15"
192.0.2.35 - - [22/Mar/2026:14:06:08 +0000] "GET /catalog/product/view/id/17/ HTTP/1.1" 200 19870 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.35 - - [22/Mar/2026:14:06:11 +0000] "GET /pub/media/catalog/product/cache/1/image/800x/product-17.jpg HTTP/1.1" 200 47200 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.36 - - [22/Mar/2026:14:06:20 +0000] "GET /sales/order/history/ HTTP/1.1" 200 5112 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
203.0.113.42 - - [22/Mar/2026:14:06:28 +0000] "POST /pub/media/catalog/product/.cache/a.php HTTP/1.1" 200 2048 "-" "python-requests/2.31"
192.0.2.37 - - [22/Mar/2026:14:06:40 +0000] "GET /checkout/ HTTP/1.1" 200 12880 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0"
192.0.2.38 - - [22/Mar/2026:14:06:52 +0000] "GET /pub/media/wysiwyg/home-banner.jpg HTTP/1.1" 200 44210 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Mobile/15E148 Safari/604.1"
192.0.2.39 - - [22/Mar/2026:14:07:03 +0000] "GET /customer/account/ HTTP/1.1" 200 6211 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
203.0.113.42 - - [22/Mar/2026:14:07:19 +0000] "GET /pub/media/catalog/product/.cache/a.php/thumbnail.gif HTTP/1.1" 200 512 "-" "python-requests/2.31"
192.0.2.40 - - [22/Mar/2026:14:07:33 +0000] "GET /sales/order/history/ HTTP/1.1" 200 5112 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.41 - - [22/Mar/2026:14:07:47 +0000] "POST /checkout/onepage/saveShippingMethod/ HTTP/1.1" 200 1800 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.42 - - [22/Mar/2026:14:08:01 +0000] "GET /pub/static/frontend/Magento/luma/en_US/Magento_Checkout/js/view/progress-bar.js HTTP/1.1" 200 5412 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.43 - - [22/Mar/2026:14:08:14 +0000] "GET /catalog/product/view/id/17/ HTTP/1.1" 200 19870 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15"
203.0.113.42 - - [22/Mar/2026:14:08:29 +0000] "GET /pub/media/catalog/product/.cache/a.php/gallery-1.jpg HTTP/1.1" 200 512 "-" "python-requests/2.31"
192.0.2.44 - - [22/Mar/2026:14:08:43 +0000] "GET /catalogsearch/result/?q=shirt HTTP/1.1" 200 11223 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0"
192.0.2.45 - - [22/Mar/2026:14:08:57 +0000] "POST /newsletter/subscriber/new/ HTTP/1.1" 302 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.46 - - [22/Mar/2026:14:09:08 +0000] "GET /pub/media/wysiwyg/promo-banner.jpg HTTP/1.1" 200 38410 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Mobile/15E148 Safari/604.1"
203.0.113.42 - - [22/Mar/2026:14:09:22 +0000] "POST /pub/media/catalog/product/.cache/a.php HTTP/1.1" 200 8192 "-" "python-requests/2.31"
192.0.2.47 - - [22/Mar/2026:14:09:37 +0000] "GET /customer/account/login/ HTTP/1.1" 200 7219 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15"
192.0.2.47 - - [22/Mar/2026:14:09:51 +0000] "POST /customer/account/loginPost/ HTTP/1.1" 302 0 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15"
192.0.2.48 - - [22/Mar/2026:14:10:03 +0000] "GET /checkout/cart/ HTTP/1.1" 200 4720 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
203.0.113.42 - - [22/Mar/2026:14:10:17 +0000] "GET /pub/media/catalog/product/.cache/a.php/icon.png HTTP/1.1" 200 512 "-" "python-requests/2.31"
192.0.2.49 - - [22/Mar/2026:14:10:28 +0000] "GET /catalog/category/view/id/7/ HTTP/1.1" 200 17320 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0"
192.0.2.50 - - [22/Mar/2026:14:10:42 +0000] "GET /pub/static/frontend/Magento/luma/en_US/requirejs/require.js HTTP/1.1" 200 19041 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.51 - - [22/Mar/2026:14:10:55 +0000] "GET /catalog/product/view/id/55/ HTTP/1.1" 200 21100 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
203.0.113.42 - - [22/Mar/2026:14:11:08 +0000] "POST /pub/media/catalog/product/.cache/a.php HTTP/1.1" 200 4096 "-" "python-requests/2.31"
192.0.2.52 - - [22/Mar/2026:14:11:22 +0000] "GET /customer/account/ HTTP/1.1" 200 6211 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15"
192.0.2.53 - - [22/Mar/2026:14:11:36 +0000] "GET /pub/media/wysiwyg/featured-products.jpg HTTP/1.1" 200 51200 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
203.0.113.42 - - [22/Mar/2026:14:11:49 +0000] "GET /pub/media/catalog/product/.cache/a.php/swatch.gif HTTP/1.1" 200 512 "-" "python-requests/2.31"
192.0.2.54 - - [22/Mar/2026:14:12:01 +0000] "GET /checkout/onepage/ HTTP/1.1" 200 16800 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.54 - - [22/Mar/2026:14:12:14 +0000] "POST /checkout/onepage/saveOrder/ HTTP/1.1" 200 3210 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.54 - - [22/Mar/2026:14:12:28 +0000] "GET /checkout/onepage/success/ HTTP/1.1" 200 5190 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
203.0.113.42 - - [22/Mar/2026:14:12:44 +0000] "POST /pub/media/catalog/product/.cache/a.php HTTP/1.1" 200 1024 "-" "python-requests/2.31"
192.0.2.55 - - [22/Mar/2026:14:13:02 +0000] "GET / HTTP/1.1" 200 14832 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0"
192.0.2.55 - - [22/Mar/2026:14:13:04 +0000] "GET /pub/static/frontend/Magento/luma/en_US/css/styles-m.css HTTP/1.1" 200 98211 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0"
192.0.2.56 - - [22/Mar/2026:14:13:19 +0000] "GET /catalog/category/view/id/3/ HTTP/1.1" 200 18441 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
203.0.113.42 - - [22/Mar/2026:14:13:31 +0000] "GET /pub/media/catalog/product/.cache/a.php/banner-2.jpg HTTP/1.1" 200 512 "-" "python-requests/2.31"
192.0.2.57 - - [22/Mar/2026:14:13:44 +0000] "GET /customer/account/ HTTP/1.1" 200 6211 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.58 - - [22/Mar/2026:14:13:58 +0000] "GET /pub/media/catalog/product/cache/1/image/800x/product-42-alt.jpg HTTP/1.1" 200 42180 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15"
203.0.113.42 - - [22/Mar/2026:14:14:12 +0000] "POST /pub/media/catalog/product/.cache/a.php HTTP/1.1" 200 256 "-" "python-requests/2.31"
192.0.2.59 - - [22/Mar/2026:14:14:26 +0000] "GET /catalog/product/view/id/88/ HTTP/1.1" 200 20440 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.60 - - [22/Mar/2026:14:14:41 +0000] "POST /customer/section/load/ HTTP/1.1" 200 1204 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
203.0.113.42 - - [22/Mar/2026:14:15:03 +0000] "GET /pub/media/catalog/product/.cache/a.php/spacer.gif HTTP/1.1" 200 512 "-" "python-requests/2.31"
192.0.2.61 - - [22/Mar/2026:14:15:18 +0000] "GET /checkout/cart/ HTTP/1.1" 200 4720 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Mobile/15E148 Safari/604.1"
192.0.2.62 - - [22/Mar/2026:14:15:33 +0000] "GET /catalogsearch/result/?q=shoes HTTP/1.1" 200 9844 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.63 - - [22/Mar/2026:14:15:48 +0000] "GET /pub/static/frontend/Magento/luma/en_US/Magento_Catalog/js/price-utils.js HTTP/1.1" 200 4221 "-" "Mozilla/5.0 (X11; Linux x86_64; rv:124.0) Gecko/20100101 Firefox/124.0"
203.0.113.42 - - [22/Mar/2026:14:16:11 +0000] "POST /pub/media/catalog/product/.cache/a.php HTTP/1.1" 200 512 "-" "python-requests/2.31"
192.0.2.64 - - [22/Mar/2026:14:16:28 +0000] "GET /customer/account/login/ HTTP/1.1" 200 7219 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.64 - - [22/Mar/2026:14:16:41 +0000] "POST /customer/account/loginPost/ HTTP/1.1" 302 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"
192.0.2.65 - - [22/Mar/2026:14:16:57 +0000] "GET /catalog/product/view/id/120/ HTTP/1.1" 200 18770 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3 Safari/605.1.15"
203.0.113.42 - - [22/Mar/2026:14:17:12 +0000] "GET /pub/media/catalog/product/.cache/a.php/loader.png HTTP/1.1" 200 512 "-" "python-requests/2.31"
